About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  	0
The directing is sloppy at best.  	0
Hackneyed writing, certainly, but made even worse by the bad directing.  	0
Of course, the acting is blah.  	0
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  	0
And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  	0
I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  	1
I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  	1
This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  	1
This movie was kind of long in length, but I enjoyed every minute of it.  	1
Overall I rate this movie a 10 out of a 1-10 scale.  	1
Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  	1
I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  	0
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  	0
Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  	1
This movie creates its own universe, and is fascinating in every way.  	1
But this movie really got to me.  	1
See it.  	1
I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  	1
And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  	1
This movie is a good and humorous comment on life in 2006.  	1
I found this move beautiful, enjoyable, and uplifting.  	1
Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  	1
